ID,Name,Age,Salary,Join Date,City,Email,Purchase
429,Christina Martin,48.0,,11-05-2017,Aliciamouth,christina_martin@example.com,1
430,Breanna Taylor,26.0,,19-11-2015,East Katieberg,breanna_taylor@example.com,0
431,Savannah Campbell,23.0,,07-11-2017,Erinhaven,savannah_campbell@example.com,1
432,Jennifer Sanders,54.0,,21-08-2023,East Anthony,jennifer_sanders@example.com,1
433,Martha Rivera,28.0,,11-09-2020,Derekview,martha_rivera@example.com,0
434,Darlene Duncan,45.0,,26-09-2022,Mariaview,darlene_duncan@example.com,0
435,Kristen Anderson,35.0,,15-01-2024,Lake Brittany,kristen_anderson@example.com,1
436,Amy Nunez,50.0,,30-01-2023,North Jonathanhaven,amy_nunez@example.com,0
437,Christine Pena MD,32.0,,24-12-2023,Catherineshire,christine_pena_md@example.com,1
438,Jennifer Robertson,35.0,,19-03-2018,Jeffreyberg,jennifer_robertson@example.com,1
439,Mark Cook,49.0,,01-07-2015,Maryton,mark_cook@example.com,0
440,Daniel Wade,53.0,,18-11-2018,Cynthiamouth,daniel_wade@example.com,0
441,Christian Parrish,21.0,,06-11-2018,North Barbaraberg,christian_parrish@example.com,0
442,Mary Fernandez,27.0,,28-08-2018,Lake Edwardchester,mary_fernandez@example.com,1
443,Anthony Hoffman,20.0,,18-09-2018,West William,anthony_hoffman@example.com,0
444,Ricky Conway,39.0,,05-10-2017,Rickville,ricky_conway@example.com,0
445,Christopher Jones,38.0,,08-08-2022,Lake Jennifer,christopher_jones@example.com,1
446,nan,27.0,,01-06-2017,Maxwellview,unknown@example.com,1
447,Derek Olson,31.0,,08-12-2024,Allenfort,derek_olson@example.com,1
448,Trevor Clark,24.0,,07-04-2021,New Yvette,trevor_clark@example.com,1
449,Nicole Davis,23.0,,09-08-2019,Keithside,nicole_davis@example.com,1
450,John Frazier,23.0,,05-09-2021,South Georgestad,john_frazier@example.com,1
451,Amber Mcguire,20.0,,04-12-2015,Port Edgar,amber_mcguire@example.com,0
452,Wayne Acosta,47.0,,17-08-2015,Lake Eileenhaven,wayne_acosta@example.com,1
453,Alexa Lowe,31.0,,21-03-2021,Janeton,alexa_lowe@example.com,0
454,nan,36.0,,13-04-2023,Karenshire,unknown@example.com,1
455,Nicole Vargas,,,07-07-2023,Stevenville,nicole_vargas@example.com,1
456,Benjamin Davis,23.0,,03-07-2021,Lake Davidfort,benjamin_davis@example.com,0
457,Todd Kramer,43.0,,09-11-2019,Lake Ronaldberg,todd_kramer@example.com,0
458,Dr. Mary Yang DDS,20.0,,23-01-2021,Harveyland,dr._mary_yang_dds@example.com,0
459,Kelly Eaton,23.0,,07-05-2016,South Kathleen,kelly_eaton@example.com,0
460,Randall Garcia,33.0,,26-02-2022,Reneehaven,randall_garcia@example.com,0
461,Cynthia Hernandez,43.0,,25-09-2018,North Alanbury,cynthia_hernandez@example.com,0
462,Barbara Leach,59.0,,01-06-2016,Port Saraberg,barbara_leach@example.com,0
463,Scott Osborn,60.0,,03-10-2017,North Randall,scott_osborn@example.com,1
464,Megan Gilmore,21.0,,10-10-2023,East Melanie,megan_gilmore@example.com,0
465,Amy Barajas,26.0,,23-07-2017,Lake Melissachester,amy_barajas@@gmail.com,0
466,Steven Jones,35.0,,30-03-2020,Alexmouth,steven_jones@example.com,0
467,John Rogers,31.0,,28-03-2023,Carrollfurt,john_rogers@example.com,1
468,Sierra Barker,34.0,,22-04-2015,Youngland,sierra_barker@example.com,0
469,Chad Anderson,,,05-09-2023,Nealburgh,chad_anderson@example.com,0
470,Daniel Gray,24.0,,26-09-2021,Dylanfurt,daniel_gray@example.com,1
471,Carlos Snyder,44.0,,20-11-2024,North Ianmouth,carlos_snyder@example.com,0
472,Veronica Ortega,49.0,,26-06-2018,North Jacqueline,veronica_ortega@example.com,1
473,Jessica Scott,32.0,,17-05-2019,Jacksonport,jessica_scott@example.com,1
474,Sean Pierce,34.0,,01-06-2023,Fordmouth,sean_pierce@example.com,0
475,Marissa Macdonald,30.0,,17-04-2024,Duarteberg,marissa_macdonald@example.com,1
476,Mark Murphy,53.0,,30-05-2022,Port Timothymouth,mark_murphy@example.com,1
477,Nicholas Hill,51.0,,04-11-2021,Roberttown,nicholas_hill@example.com,0
478,Carlos Williamson,46.0,,14-05-2020,New Melissa,carlos_williamson@example.com,1
479,Lisa Anderson,22.0,,06-12-2020,Jimmyfurt,lisa_anderson@example.com,0
480,nan,24.0,,19-04-2019,Davisstad,unknown@example.com,0
481,Nathan Gray,38.0,,05-02-2021,Loriland,nathan_gray@example.com,0
482,Tracy Miller,54.0,,11-07-2023,East Vicki,tracy_miller@example.com,1
483,Sandra Berry,28.0,,01-06-2023,Port Andrehaven,sandra_berry@example.com,1
484,Kayla Mitchell,58.0,,11-12-2017,Kerrifort,kayla_mitchell@example.com,0
485,Melinda Macdonald,44.0,,03-06-2023,Jackborough,melinda_macdonald@example.com,0
486,Jennifer Rivera,,,03-05-2015,Carlland,jennifer_rivera@example.com,1
487,Ashley Chang,40.0,,17-02-2022,Butlerland,ashley_chang@example.com,1
488,Andrew Alvarez,35.0,,01-11-2024,South Christinaview,andrew_alvarez@example.com,0
489,Jack Allen,57.0,,03-10-2017,Carriehaven,jack_allen@example.com,0
490,Stephanie Blanchard,52.0,,16-05-2019,Port Vernonfurt,stephanie_blanchard@example.com,0
491,Amanda Moore,59.0,,22-05-2017,West Jessicamouth,amanda_moore@example.com,1
492,Travis Morse,41.0,,05-06-2021,East Todd,travis_morse@example.com,1
493,Shawn Moran,34.0,,11-03-2021,Port Justinshire,shawn_moran@example.com,1
494,Francisco Baker,37.0,,02-01-2022,Cathybury,francisco_baker@example.com,0
495,David Rodriguez,40.0,,02-06-2015,Port Brittany,david_rodriguez@@gmail.com,0
496,Christina Howe,60.0,,24-03-2020,Russellshire,christina_howe@example.com,0
497,Aimee Rosales,41.0,,17-01-2022,West Lori,aimee_rosales@example.com,1
498,Sara Dixon,39.0,,06-02-2021,East Stephen,sara_dixon@example.com,0
499,Charles Wells,28.0,,05-07-2024,West Mary,charles_wells@example.com,0
500,Dylan Burns,48.0,,05-04-2019,Woodsview,dylan_burns@example.com,0
501,nan,29.0,,07-12-2021,Kellyfort,unknown@example.com,0
502,Christine Smith,42.0,,04-01-2017,Johnton,christine_smith@example.com,1
503,nan,37.0,,24-09-2016,New Sarah,unknown@example.com,0
504,Sally Delgado,,,26-12-2016,Royborough,sally_delgado@example.com,0
505,Michael Butler,30.0,,21-10-2023,Melaniestad,michael_butler@example.com,0
506,Kenneth Collins,37.0,,28-08-2018,West Brittany,kenneth_collins@example.com,0
507,Robert Miller,57.0,,25-06-2016,New Kelseyborough,robert_miller@example.com,0
508,Nicholas Adams,41.0,,06-06-2019,Melissatown,nicholas_adams@example.com,1
509,Nicole Wilcox,45.0,,07-03-2017,West Margaretfort,nicole_wilcox@example.com,0
510,Stacey Murphy,30.0,,09-10-2015,Simmonsshire,stacey_murphy@example.com,1
511,Michelle Wiley DDS,56.0,,30-11-2017,West Rebecca,michelle_wiley_dds@example.com,1
512,Adrienne Jenkins,29.0,,22-01-2022,North Kathleen,adrienne_jenkins@example.com,0
513,Ernest Perez,58.0,,31-03-2023,Michaelhaven,ernest_perez@example.com,1
514,Ms. Linda Foster DDS,23.0,,03-02-2023,Angelaberg,ms._linda_foster_dds@example.com,0
515,Loretta Sutton,28.0,,16-02-2018,Madelineside,loretta_sutton@@gmail.com,1
516,Jamie Warren,35.0,,28-03-2024,Port Rachelborough,jamie_warren@@gmail.com,0
517,nan,52.0,,21-01-2017,Robertfurt,unknown@example.com,0
518,Lorraine Taylor,37.0,,22-08-2023,Scottburgh,lorraine_taylor@example.com,0
519,Lisa Moody MD,50.0,,11-10-2015,Beardfurt,lisa_moody_md@example.com,1
520,Rita Yu,53.0,,01-02-2023,North Theresafurt,rita_yu@example.com,1
521,Veronica Carlson,,,30-12-2017,Petersonshire,veronica_carlson@example.com,1
522,nan,23.0,,30-03-2023,Wendyville,unknown@example.com,1
523,Luis Smith Jr.,47.0,,13-01-2023,Port Justin,luis_smith_jr.@example.com,0
524,Robert Jones,50.0,,13-01-2016,Port Meganville,robert_jones@example.com,1
525,Brianna Roman,58.0,,23-07-2018,Brettton,brianna_roman@example.com,1
526,Monica Hodges,38.0,,19-02-2022,Marychester,monica_hodges@example.com,0
527,Tonya Ward,39.0,,20-02-2017,Williamsbury,tonya_ward@example.com,1
528,Heidi Martin,55.0,,03-05-2017,Davidborough,heidi_martin@example.com,0
529,Renee Ellis,31.0,,21-03-2022,Lake Roy,renee_ellis@example.com,1
530,Emily Jones,20.0,,29-07-2022,Port Joshuaborough,emily_jones@example.com,0
531,John Lee,38.0,,20-04-2019,Christopherhaven,john_lee@example.com,0
532,Benjamin Foster,44.0,,20-12-2016,East Monica,benjamin_foster@example.com,0
533,Ashley Johnson,53.0,,05-04-2015,Kimberlyberg,ashley_johnson@example.com,1
534,nan,50.0,,27-02-2019,Jeffreychester,unknown@example.com,0
535,Jeffrey Owens,,,10-10-2023,Jasonstad,jeffrey_owens@example.com,1
536,Ashley Brennan,27.0,,15-09-2017,Richardsonside,ashley_brennan@example.com,0
537,Olivia Davis,30.0,,23-01-2025,West Darren,olivia_davis@@gmail.com,1
538,Gabriel Cross,57.0,,27-04-2020,Clineburgh,gabriel_cross@example.com,1
539,William Steele,49.0,,17-04-2018,Port Davidtown,william_steele@example.com,1
540,Brittany Singleton,56.0,,20-03-2016,Chelseaborough,brittany_singleton@example.com,0
541,Stacey Washington,33.0,,15-09-2019,West Susan,stacey_washington@example.com,0
542,Amber Brennan,26.0,,01-05-2016,Michaelberg,amber_brennan@example.com,1
543,Anthony Phelps,29.0,,12-03-2018,North Danielfurt,anthony_phelps@example.com,1
544,Lori Austin,46.0,,31-07-2021,Joyton,lori_austin@example.com,1
545,Sara Webster,58.0,,21-09-2016,South Brandystad,sara_webster@example.com,0
546,Pamela Mcgee,58.0,,17-10-2021,West Vickie,pamela_mcgee@example.com,0
547,William Moyer,25.0,,23-09-2015,Micheleside,william_moyer@example.com,0
548,Sergio Harmon,28.0,,30-11-2021,Ritaland,sergio_harmon@example.com,1
549,Darlene Key,51.0,,21-07-2018,Meyerston,darlene_key@example.com,0
550,Angela Todd,44.0,,07-08-2022,Rodriguezmouth,angela_todd@example.com,1
551,Jessica Lee,37.0,,23-02-2018,Port Tiffany,jessica_lee@example.com,1
552,Alexis Meyer,34.0,,24-11-2022,Perkinstown,alexis_meyer@example.com,0
553,Veronica Soto,20.0,,17-08-2015,Port Amber,veronica_soto@@gmail.com,1
554,nan,32.0,,16-03-2023,Port Cindy,unknown@example.com,1
555,Andrea Johnson,35.0,,09-12-2024,Singletonchester,andrea_johnson@example.com,0
556,Adam Wheeler,30.0,,07-12-2019,Watkinsburgh,adam_wheeler@example.com,0
557,Patricia May,47.0,,29-03-2018,Murphyfort,patricia_may@example.com,0
558,John Ford,37.0,,16-04-2019,New Amanda,john_ford@example.com,0
559,Samantha Wood,58.0,,03-08-2020,North Michael,samantha_wood@example.com,0
560,Bradley Shaw,47.0,,26-06-2021,Port Sandraview,bradley_shaw@example.com,1
561,Douglas Stephenson,55.0,,20-05-2016,New Brianastad,douglas_stephenson@example.com,1
562,Laura Bell,37.0,,04-05-2022,Stewarthaven,laura_bell@example.com,1
563,Thomas Blair,28.0,,02-11-2016,New Justinville,thomas_blair@example.com,1
564,Michael Harper,37.0,,04-11-2018,Amandachester,michael_harper@example.com,0
565,Lacey Morgan,60.0,,18-12-2022,Staffordbury,lacey_morgan@example.com,1
566,Troy Vargas,29.0,,24-01-2025,East Patrickbury,troy_vargas@example.com,1
567,Shannon Smith,48.0,,29-08-2020,North Saraberg,shannon_smith@example.com,0
568,Kristine Brown,24.0,,23-04-2018,Jonesborough,kristine_brown@example.com,1
569,Kathy Stone,58.0,,27-05-2017,North Codyhaven,kathy_stone@example.com,1
570,Terri Booker,60.0,,22-07-2020,West Matthewstad,terri_booker@example.com,0
571,Lisa French,37.0,,05-07-2019,East Leonard,lisa_french@example.com,0
572,Amy Reed,54.0,,05-12-2021,South Bobbychester,amy_reed@example.com,1
573,Thomas Thompson,29.0,,17-02-2023,North Abigail,thomas_thompson@example.com,0
574,Richard Davis,35.0,,27-10-2020,North Shannon,richard_davis@example.com,0
575,Brittney Bush,43.0,,13-05-2020,West Antonio,brittney_bush@example.com,1
576,James Webb,53.0,,30-11-2023,West Bridgetmouth,james_webb@example.com,0
577,Morgan Ashley,36.0,,02-05-2015,Jordanburgh,morgan_ashley@example.com,1
578,Keith Browning,37.0,,27-12-2020,North Trevorborough,keith_browning@example.com,1
579,Zachary Dean,22.0,,27-12-2023,Lauraview,zachary_dean@@gmail.com,1
580,Andrew Rodriguez,30.0,,11-12-2022,West Randy,andrew_rodriguez@@gmail.com,0
581,Brittney Everett,35.0,,17-08-2022,East Crystal,brittney_everett@example.com,0
582,Peter Walker,59.0,,19-01-2020,Port Candice,peter_walker@example.com,0
583,Michelle Wood,41.0,,25-02-2016,West Mindy,michelle_wood@example.com,0
584,Jessica Kelly,50.0,,22-03-2021,Vargasland,jessica_kelly@example.com,0
585,Karen Smith,46.0,,02-10-2019,Port Raymondburgh,karen_smith@example.com,1
586,Mark Jordan,47.0,,08-10-2019,Ryanview,mark_jordan@example.com,0
587,Kathleen Spencer,28.0,,08-11-2022,West Lauraland,kathleen_spencer@example.com,0
588,Todd Cortez,35.0,,20-04-2015,East Jesseview,todd_cortez@example.com,1
589,Crystal Pacheco,50.0,,14-12-2019,Hickshaven,crystal_pacheco@example.com,1
590,Mrs. Kelly Gutierrez MD,25.0,,28-12-2021,Grossmouth,mrs._kelly_gutierrez_md@example.com,1
591,Bruce Davis,45.0,,12-04-2019,Frazierview,bruce_davis@example.com,0
592,Kristy Lopez,31.0,,24-06-2015,North Leefort,kristy_lopez@example.com,1
593,Cynthia Moore,21.0,,18-05-2017,Juliefurt,cynthia_moore@example.com,0
594,Martin Mcdonald,22.0,,05-04-2023,Port Steven,martin_mcdonald@example.com,1
595,Michael Bridges,31.0,,29-04-2021,Brooksport,michael_bridges@example.com,1
596,Kristie Perkins,25.0,,16-10-2018,South Nichole,kristie_perkins@example.com,0
597,Michelle Williams MD,44.0,,20-06-2022,Riostown,michelle_williams_md@example.com,0
598,Karen Howard,22.0,,21-08-2020,Williamsberg,karen_howard@example.com,1
599,Joe Hall,60.0,,27-11-2021,Michaelville,joe_hall@example.com,1
600,Nicole Solomon,60.0,,17-07-2020,Goodmanstad,nicole_solomon@example.com,0
